Accenture,Devops Engineer,Bangalore,Received the call,11-09-2024
SRV Headhunt,Devops Engineer,Bangalore,applied,11-09-2024
Proficient,Cloud & Devops Engineer,Bangalore,applied,11-09-2024
Qcentrio,Devops & google cloud engineer,Bangalore,applied,11-09-2024
Capegemini,Devops Engineer,Bangalore,Interview,11-09-2024
Infosys,Devops lead,Bangalore,applied,11-09-2024
TCS,Azure Devops Engineer,Bangalore,applied,11-09-2024
Tech Mahindra,Azure Devops Engineer,Pune,forwarded to client,11-09-2024
Infosys,Azure Devops Consulatant,Bangalore,forwarded to client,11-09-2024
Wipro,Devops,,Interview,11-09-2024
HCL Tech,Devops Engineer,Bangalore,Interview,12-09-2024
Globallogic,Cloud team-devops-windows(lead),Pune ,applied,12-09-2024
Globallogic,Devops engineer,Bangalore,applied,12-09-2024
Shell infotech,Opening for azure lead with kubernetes,Bangalore,applied,12-09-2024
VCO Systems,Senior Devops Engineer,Bangalore,applied,12-09-2024
Cross road solution,Devops engineer,Bangalore,applied,12-09-2024
Qcentrio,Devops Engineer-Google cloud platform,Bangalore,applied,12-09-2024
Nitor,Gcp devops Engineer,Pune,applied,12-09-2024
Broadridge,Devops,Bangalore,Received the call,13-09-2024
Zensar,AWS Devops Engineer,Bangalore,applied,13-09-2024
Aliqan Services,AWS Networking Devops,Noida,applied,13-09-2024
Value labs,Devops lead,Bangalore,applied,13-09-2024
Photon,Sr Devops,Hyderabad,applied,13-09-2024
Ltimindtree,Azure Devops Engineer,Hyderabad,Interview,13-09-2024
Genpact,Cloud engineer Devops,Bangalore,applied,13-09-2024
Birla soft,Sr Devops engineer,Bangalore,applied,13-09-2024
costrategix,Azure devops engineer,Bangalore,Received the call,14-09-2024
Ramsoft,Devops Engineer,Bangalore,applied,14-09-2024
ERGO,Azure devops engineer,Mumbai,applied,14-09-2024
People tech,Lead consultant,Hyderabad,applied,14-09-2024
Movate technologies,lead-devops,Hyderabad,applied,14-09-2024
Areteans,Senior Azure devops engineer,Hyderabad,applied,14-09-2024
mindstech recruitment,senior cloud engineer,Gurugram,applied,14-09-2024
acme services,Devops engineer,Bangalore,applied,14-09-2024
Ispace,openshift developer,Hyderabad,applied,14-09-2024
Cadmaxx,Senior Devops Engineer,Hyderabad,applied,14-09-2024
Dhruv compusoft consultancy,Devops engineer,Bangalore,applied,14-09-2024
Soft solutions,Gcp devops Engineer,Bangalore,applied,14-09-2024
Lancesoft,Sr. GCP infra cloud consultant,Hyderabad,applied,14-09-2024
platlap solutions,Devops engineer,Hyderabad,applied,14-09-2024
Hubino technologies,Devops developer,Bangalore,applied,14-09-2024
sadup soft,Devops engineer- cloud infrastructure,Bangalore,applied,14-09-2024
reasponse informatics,Devops engineer,Hyderabad,applied,14-09-2024
Mindtree,Azure Devops Engineer with kubernetes,Hyderabad,WE CANCELLED INTERVIEW,16-09-2024
CGI Information systems,devops,Bangalore,applied,16-09-2024
Leading company,devops engineer,Pune,applied,16-09-2024
Vistas Technologies,Devops engineer,Bangalore,applied,16-09-2024
cybage,devops engineer,Pune,applied,16-09-2024
supro consulting,cloud devops engineer,Pune,applied,16-09-2024
vbeyond corporation,site reliability engineer,Hyderabad,applied,16-09-2024
Cognizant,devops,,Received the call,
IT Sources,mlops,,Received the call,
Celebal,mlops,,forwarded to client,
Deloitte,mlops,,forwarded to client,
Cognizant,devops,,Interview,
citius,mlops,,Interview,
tavant,mlops,,Interview,
elililly,mlops,,forwarded to client,
wipro,devops,,forwarded to client,
deloitte,mlops,,forwarded to client,
wipro,mlops,,forwarded to client,
Amantya technologies,,,forwarded to client,
ultimately,DEVOPS,,forwarded to client,
tech mahindra,DEVOPS,,forwarded to client,
cognizant,devsecops,,forwarded to client,
PANACEA DIRECT INC,devops,,forwarded to client,
photon,devops,,forwarded to client,
Capegemini,devops,,Interview,
tech mahindra,devops,,forwarded to client,
LTImindtree,MLOPS,,WE CANCELLED INTERVIEW,
ELIZEBETH &QUEEN,SR DEVOPS,,forwarded to client,
Platlap,Azure infrastructure engineer,,applied,
Frutantech solutions,Devsecops engineer,,applied,
Pyramid IT Consulting,GCP devops,,applied,
First american,Devops manager,,Rejected,
Path mentors staffing,Devops ,,applied,
Hunting cube rectruitment,Devsecops lead,,applied,
Rankskills international,AWS devops ,,applied,
Tetrahead Inc,AWS devops ,,applied,
Innointel Global,Devops engineer,,applied,
Thinkappas solutions,GCP data engineer,,applied,
UST,Snowflake data engineer,,applied,
Infosys,Devops engineer,,applied,
Nityo Infotech,Senior Devops Engineer,,applied,
Sapotech Solutions,Devops engineer,,applied,
Synechron,Devops engineer,,applied,
Databuzz,Senior Devops Engineer,,applied,
Jobsmill,Devops engineer,,applied,
manpower group services,Devops engineer,,applied,
Local fox,Devops engineer,,applied,
sigma allied services,Devops engineer,,applied,
vayuz technologies,Devops engineer,,applied,
In time tec,Devops engineer,,applied,
Omni rectruit,Devops engineer,,applied,
NatWest Markets,Devops engineer,,applied,
tata elxsi,devops lead,,applied,
Wroots Global,Devops engineer,,applied,
viva hr services,GCP devops,,applied,
NTT services,Aws cloud specialist,,applied,
Dimior,Aws devops engineer,,applied,
centific,devops lead,,applied,
creatr technologies,senior clou engineer,,applied,
digit insurance,lead aws devops,,applied,
change leaders consulting,azure devops engineer,,applied,
Vision Data Analytics,Senior Devops Engineer,,applied,
EY,Devops engineer,,applied,
Vaylor Paytech India,senior devops lead,,applied,
costrategix,azure devops engineer,,applied,
Ramyoz solutions,Devops engineer,,applied,
Witlance Solutions,azure engineer,,applied,
pyrmid IT consulting,Devops engineer,,applied,
HDL consultant,Devops engineer,,applied,
coforge,Devops engineer,,applied,
virusta,Devops engineer,,applied,
bosch global services,Devops engineer,,applied,
nasdaq,devops engineer specialist,,applied,
sigma software,site reliability engineer,,applied,
boost tech,Devops engineer,,applied,
next comm coperation,Aws devops engineer,,applied,
CAI,azure devops engineer,,applied,
ACL Digital,Devops engineer,,applied,
nitor,azure devops engineer,,applied,
nu10 technologies,Senior Devops Engineer,,applied,
narayan solutions,aws cloud sr devops engineer,,applied,
puresoft pvt ltd,devops engineer ,,applied,
ness,azure devops engineer,,applied,
goprac.com,GCP devops,,applied,
CIEL HR Services Pvt Ltd,Aws devops engineer,,applied,
accion labs,azure devops engineer,,applied,
qburst,azure devops engineer,,applied,
titan consultancy,Senior Devops Engineer,,applied,
hirednext,devsecops engineer,,applied,
Source One Management,kubernetes lead engineer,,applied,
human horizon,devops engineer,,applied,
sky jobs hr services,GCP engineer,,applied,
vichara technologies,azure devops engineer,,applied,
Serendipity Technologies,azure devops engineer,,applied,
Nanolytics,SENIOR SITE RELIABILITY ENGINEER,,applied,
Randstad,Cloud devops engineer,,applied,
elite hr services,devops engineer ,,applied,
SJ digi tech,senior azure devops engineer,,,
