Companies,Position,STATUS,Date
ITC,MLOPS,We cancelled the interview,
IKEA,MLOPS,Given task,16-10-2024
Siemens energy,S mlops,Under review,16-10-2024
Eli lilly,MLOPS,We cancelled the interview,CANCELLED
Sun king,MLOPS,Interview timings are not matching,14-10-2024
Razor group,MLOPS,Applied,
Hitachi,MLOPS,We cancelled the interview,CANCELLED
Motadata,MLOPS,Applied,
Accrete.ai,MLOPS,Applied,
Amgen Inc,MLOPS,Applied,
KnowDis,MLOPS,Applied,
BMC Software India Pvt. Ltd,Sr MLOPS,Applied,
Viavi Solutions Pvt. Ltd,Sr ML Engineer,Applied,
"BD (Becton, Dickinson and Company)",MLOPS,Applied,
Walmart,MLOPS,Applied,11-10-2024
Amazon,MLOPS,Applied,11-10-2024
Apple,MLOPS,Applied,11-10-2024
United Health Care,MLOPS,Applied,11-10-2024
BP,MLOPS,Need to attend interview,11-10-2024
TotalEnergies,MLOPS,Applied,11-10-2024
CENCORA,MLOPS,Applied,14-10-2024
CIGNA,MLOPS,Not selected,14-10-2024
EVERSOURCE,MLOPS,Applied,14-10-2024
WALT DISNEY,MLOPS,Applied,14-10-2024
BIOGEN,MLOPS,Not selected,14-10-2024
CISCO,MLOPS,Applied,14-10-2024
NIKE,MLOPS,Applied,14-10-2024
mckesson,MLOPS,Not selected,15-10-2024
Google,MLOPS,Applied,16-10-2024
Samsung,mLOPS,Applied,16-10-2024
Toyota motors,MLOPS,Applied,16-10-2024
Unilever,MLOPS,Applied,16-10-2024
Airbus,MLOPS,Applied,16-10-2024
Airnb,MLOPS,Applied,17-10-2024
Lyft,MLOPS,Applied,17-10-2024
NVIDIA,MLOPS,Applied,17-10-2024
Netflix,MLOPS,Applied,18-10-2024
Facebook,MLOPS,Applied,18-10-2024
AMD,MLOPS,Applied,18-10-2024
