COMPANIES,POSITION,STATUS,DATE
CITIUS TECH,MLOPS,We cancelled the interview,
Delloite,MLOPS,Asking for interview,
Global logic,MLOPS,We cancelled the interview,
Wipro,MLOPS,Interview,
Tredence,MLOPS,Application is not short listed,
Junifer,MLOPS,Received JD and forwarded to client,
Tavanth,MLOPS,Cancelled the interview,
Datagrid solutions,S mlops,Applied,
Collabrah tech solutions,MLOPS,Applied,
Crayon,MLOPS,Applied,
Ripple hire,MLOPS,We cancelled the interview,
Kantar,MLOPS,Forwarded to client,
LTIMindtree,MLOPS,We cancelled the interview,
S and P Global market intelligence,S mlops,Applied,
Optimum info system,MLOPS,Applied,
Fractal Analytics,S mlops,Applied,
S3B Global,MLOPS,Applied,
Hr solutions,MLOPS,Applied,
Global pharma TECH,MLOPS,Applied,
INT9,MLOPS,Under review,
Localfox,MLOPS,Applied,
Accenture Solutions Pvt Ltd,MLOPS,Applied,
ICCS Limited,MLOPS,Applied,
Online manufacturing,MLOPS,Applied,
UST,MLOPS,Applied,
Diverse Lynx,MLOPS,Applied,
Numentica Private Limited,MLOPS,Applied,
Ignitho ,MLOPS,Applied,
Tiger Analytics,MLOPS,We cancelled the interview,
Newbie Soft Solutions,MLOPS,Applied,
Parseq,MLOPS,Applied,
Coders Brain Pvt Ltd,MLOPS,Applied,
Agilite Global Solutions,MLOPS,Applied,
Capleo Global Solutions Private Limited,MLOPS,Applied,
Verizon Data Services India Pvt Ltd,MLOPS,Applied,
Sixt,MLOPS,Applied,
Venpa Staffing,MLOPS,Applied,
RARR Technologies,MLOPS,Applied,
Blend360 India,MLOPS,Shortlisted,
HR Solutions,MLOPS,Applied,
Conneqt Digital,MLOPS,Applied,
Western Union,MLOPS,Applied,
Fractal Analytics PVT.LTD,MLOPS,Applied,
Response Informatics,MLOPS,Applied,
Collabrah Tech Solutions,MLOPS,Applied,
Optimum Solutions,MLOPS,Applied,
S&P Capital IQ PVT. LTD,MLOPS,Applied,
DataGrid Solutions,MLOPS,Applied,
Kloud9 Technologies India Private Limited,MLOPS,Applied,
Rlabs Enterprise Services,ML Engineer,Applied,
Ortseam Technologies,Sr ML Engineer,Applied,
Genpact,Sr ML Engineer,Forwarded to client,
Uplers,MLOPS,Applied,
Hutoxi Incedo,MLOPS,Processing the profile,
PWC,MLOPS,We cancelled the interview,
Movate,MLOPS,Not selected,
Supersourcing Pvt. Ltd,MLOPS,Processing the profile,
Maplecroft,MLOPS,Applied,
Perfect People Search,Sr MLOPS,Not selected,
Target Corporation India Pvt. Ltd,MLOPS,Applied,
First Source,MLOPS,We cancelled the interview,
HCL tech,MLOPS,We cancelled the interview,
ValueMomentum,MLOPS,Processing the profile,
Tata Consultancy Services (TCS),MLOPS,Processing the profile,
