Company Name ,Date,Interview,Position,Feedback,Follow up
Capegemini,13/09/2024,Attended,Devops,No responce,
Excelsoft,18/09/2024,Attended,sr devops,Rejected,
Wipro,18/09/2024,attended,sr devops,No responce,
Tavant Technologies,19/09/2024,Attended,ML engineer,No responce,
LTIMindtree,19/09/2024,we cancelled,data science specailaist,,
Congizant,20/09/2024,we cancelled,devops ,,sent mail to reschedule
Delloit,20/09/2024,we cancelled,devops sr consultant,,sent mail to reschedule
LTIMindtree,20/09/2024,cancelled ,data science specailaist,,
Purviewservices,23/09/2024,attended,GCP devops,,
Elililly,26/09/2024,Attended,MLOPS,Rejected,
Dhruv compusoft ,26/09/2024,Attended,devsecops,No responce,
godigit,26/09/2024,Attended,Azure cloudops leda,Need to attend tomorrow,
altermtricx,27/09/2024,we cancelled,Devops,,sent mail to reschedule
Hitacxhi,27/09/2024,we cancelled,MLOPS,,sent mail to reschedule
ikea,27/09/2024,we cancelled,MLOPS,,sent mail to reschedule
citius tech,28/09/2024,we cancelled,MLOPS,,sent mail to reschedule
ripplehire,28/09/2024,we cancelled,devops+aws,,
Tiger analytice,30/09/2024,Attended,MLOPS,No responce,
frutan technologies,10-02-2024,need to attend,,,
PWC,,we cancelled,MLOPS,,
First Source,,We cancelled the interview,MLOPS,,
HCL tech,,We cancelled the interview,MLOPS,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
