Company Name,Budget they are offering,Date,MNC or NOT
Sunking,35LPA,14/10/2024,MNC 
Sixt,38-40LPA,14/10/2024,MNC 
Genpact,24LPA,14/10/2024,MNC 
IBM,20LPA,14/10/2024,MNC 
BCE,30LPA,15/10/2024,MNC 
Wipro,35LPA,14/10/2024,MNC 
TWC,34LPA,15/10/2024,MNC 
IKEA,30LPA,15/10/2024,MNC 
Cardinal Health,30LPA,16/10/2024,MNC 
Value Labs,28LPA,16/10/2024,MNC 
Siemens Energy,30LPA,16/10/2024,MNC 
Deloitte,Need to check with team,17/10/2024,MNC
EXL services,35LPA,17/10/2024,MNC
Resmed,Need to check with team,17/10/2024,MNC
Wipro,27 LPA,21/10/2024,MNC
clair voyaant,need to check with team,21/10/2024,MNC 
citi us,40 LPA,,
Tech mahindra,Need to check with team,22/10/2024,MNC
"marktime pvt ltd
inxice out",1.2 Lakh per month,22/10/2024,Not Know
Rackspace Technology,37 Lpa and negotiable,23/10/2024,MNC
Genpact,Need to check with team,23/10/2024,MNC
